car_id,min_price,max_price,structure,emission,gearbox,fc,baidu_index
284,15.68,30.28,三厢,1.8L 1.8T 2.5L,手动 自动 手自一体,9-11L,7743
285,11.98,18.18,两厢,1.8L 1.8T,手动 双离合,7-10L,6300
286,23.98,42.28,SUV,2.0T 3.5L,手自一体,8-12L,23100
287,7.99,12.39,SUV,1.5T 2.0L 2.4L,手动 双离合,9-11L,1300
288,6.88,9.18,MPV,1.5L 1.6L,手动,7-7L,8000
289,10.69,15.99,SUV,1.5T 2.0T,手动 双离合,8-9L,44000
290,12.78,16.28,SUV,1.5L 1.8L,手动 无级,6-7L,3600
291,8.58,11.72,两厢,1.6L,手动 无级,6-8L,22000
292,2.88,4.78,客车,1.0L 1.2L 1.4L,手动,7-8L,600
293,16.28,27.68,三厢,1.8T 2.5L,手动 自动 手自一体,8-10L,null
294,9.97,16.37,SUV,1.2T 1.6L 1.6T,手动 手自一体,5-7L,2600
295,7.98,8.89,SUV,1.5T,AMT,7-8L,281
296,12.97,18.97,三厢,1.2T 1.6T 1.8L,手动 手自一体,5-8L,3200
297,6.29,7.99,三厢,1.3L 1.5L,手动 AMT,5-6L,null
298,4.89,5.29,两厢,1.3L,手动 自动,5-6L,1500
299,3.69,4.89,三厢,1.0L 1.3L,手动,6-6L,22460
300,3.98,6.59,两厢,1.2L 1.4L,手动 AMT,6-7L,2700
301,8.98,12.78,SUV,1.6L 2.0L,手动 无级,7-8L,18707
302,16.98,27.98,三厢,2.0L 2.4L,无级 无级,4-10L,59800
303,11.68,17.78,SUV,1.6L 1.6T,手动 双离合 手自一体,7-8L,12355
304,10.88,25.28,三厢,1.8T 2.0L,手动 手自一体,8-10L,15027
305,7.89,11.39,三厢,1.6L,手动 手自一体,5-6L,4200
306,7.29,10.39,两厢 三厢,1.4L 1.6L,手动 自动 手自一体,5-6L,22000
307,6.6,7.72,客车,1.5L 1.8L,手动,8-9L,2478
308,18.5,38.5,两厢,1.2T 1.5T 2.0T,手动 手自一体,5-8L,43600
309,12.68,15.98,SUV,2.4L 2.5T,手动,7-10L,1011
310,9.98,12.48,SUV,2.2L,手动,11-12L,null
311,9.48,12.98,SUV,1.0T 1.5L,手动 双离合,6-6L,9900
312,9.99,14.99,SUV,1.4T,手动 手自一体,7-8L,41669
