,y_true,y_lasso,y_enet,,,
119,-0.306296644,0.014326641,0.016258884,,0.102799291,0.104042069
120,-0.13647042,0.014326641,0.016258884,,0.022739754,0.02332624
121,-0.140814812,0.014326641,0.016258884,,0.02406887,0.024672146
122,-0.17339775,0.014326641,0.016258884,,0.035240447,0.035969639
123,-0.472331835,0.014938563,0.017399756,,0.237432441,0.239837031
124,-0.492663075,0.014938563,0.017399756,,0.257659422,0.260164091
125,-0.49140665,0.014938563,0.017399756,,0.256385474,0.258883958
126,-0.489122241,0.014938563,0.017399756,,0.254077294,0.256564533
127,-0.486952052,0.014938563,0.017399756,,0.25189419,0.254370746
128,-0.48895091,0.014938563,0.017399756,,0.253904601,0.256390997
129,-0.487066273,0.014938563,0.017399756,,0.252008855,0.254485974
130,-0.341320984,0.014938563,0.017399756,,0.126920865,0.128680569
131,-0.454741887,0.014938563,0.017399756,,0.220599725,0.222917731
132,-0.461652224,0.014938563,0.017399756,,0.227138778,0.229490799
133,-0.462623097,0.014938563,0.017399756,,0.228065139,0.23042194
134,-0.149717044,0.011528535,0.011042078,,0.026000137,0.025843495
135,-0.125948717,0.011528535,0.011042078,,0.018899995,0.018766478
136,-0.0116604,0.011528535,0.011042078,,0.000537727,0.000515403
137,0.08814836,0.011528535,0.011042078,,0.005870598,0.005945379
138,-0.022497301,0.011528535,0.011042078,,0.001157757,0.00112489
139,-0.126950447,0.011528535,0.011042078,,0.019176428,0.019041937
140,0.284578558,0.011528535,0.011042078,,0.074556315,0.074822206
141,0.442032342,0.011528535,0.011042078,,0.185333528,0.185752607
142,0.329292154,0.011528535,0.011042078,,0.100973718,0.101283111
143,0.170381308,0.011528535,0.011042078,,0.025234204,0.02538899
144,0.086509165,0.011528535,0.011042078,,0.005622095,0.005695281
145,0.525611411,0.012310435,0.012499859,,0.263477892,0.263283465
146,0.4752828,0.012310435,0.012499859,,0.214343411,0.214168051
147,0.471310258,0.012310435,0.012499859,,0.210680837,0.210506982
148,0.452937247,0.012310435,0.012499859,,0.194151987,0.193985093
149,0.261232851,0.012310435,0.012499859,,0.061962369,0.061868102
150,0.390136021,0.012310435,0.012499859,,0.142752173,0.142609071
151,0.154850494,0.012310435,0.012499859,,0.020317668,0.020263703
152,0.580934911,0.012310435,0.012499859,,0.323333794,0.323118408
153,0.5788318,0.012310435,0.012499859,,0.320946456,0.320731868
154,0.540362397,0.012310435,0.012499859,,0.278838874,0.278638859
155,0.445926878,0.012310435,0.012499859,,0.188023219,0.187858981
156,0.483724454,0.012310435,0.012499859,,0.222231176,0.222052619
157,0.186100069,0.013304155,0.014352556,,0.029858428,0.029497208
158,0.143889204,0.013304155,0.014352556,,0.017052455,0.016779743
159,0.355132816,0.013304155,0.014352556,,0.116846833,0.116131185
160,0.182314342,0.013304155,0.014352556,,0.028564443,0.028211161
161,-0.222569247,0.013304155,0.014352556,,0.055636262,0.056131941
162,-0.644867184,0.013304155,0.014352556,,0.433189512,0.434570666
163,-0.111719939,0.015085006,0.017672785,,0.016079494,0.016742477
164,0.397086323,0.015085006,0.017672785,,0.145925006,0.143954633
165,-0.135203305,0.015085006,0.017672785,,0.022586576,0.023371099
166,-0.135203305,0.015085006,0.017672785,,0.022586576,0.023371099
167,-0.136507937,0.015085006,0.017672785,,0.02298042,0.023771695
168,-0.122156991,0.015085006,0.017672785,,0.018835366,0.019552366
169,-0.112372255,0.015085006,0.017672785,,0.016245353,0.016911712
170,-0.112372255,0.015085006,0.017672785,,0.016245353,0.016911712
171,-0.111719939,0.015085006,0.017672785,,0.016079494,0.016742477
172,-0.137160252,0.015085006,0.017672785,,0.023178619,0.023973269
173,-0.111719939,0.015085006,0.017672785,,0.016079494,0.016742477
174,-0.239491335,0.013202168,0.014162411,,0.063854007,0.064340223
175,-0.240766032,0.013202168,0.014162411,,0.064499847,0.064988511
176,-0.220370876,0.013202168,0.014162411,,0.054556367,0.055005863
177,-0.220370876,0.013202168,0.014162411,,0.054556367,0.055005863
178,-0.217184133,0.013202168,0.014162411,,0.053077848,0.053521223
179,-0.198701023,0.013202168,0.014162411,,0.044902962,0.045310841
180,-0.240766032,0.013202168,0.014162411,,0.064499847,0.064988511
181,-0.208261252,0.013202168,0.014162411,,0.049046047,0.049472286
182,-0.224832317,0.013202168,0.014162411,,0.056660416,0.05711848
183,-0.201887766,0.013202168,0.014162411,,0.04626368,0.046677679
184,-0.208898601,0.013202168,0.014162411,,0.049328752,0.049756215
185,-0.212722693,0.013202168,0.014162411,,0.051042043,0.05147685
186,-0.051270658,0.01152592,0.011037203,,0.00394341,0.00388227
187,-0.22256413,0.01152592,0.011037203,,0.054798151,0.054569583
188,-0.538915564,0.01152592,0.011037203,,0.302985827,0.302448045
189,0.234879433,0.01152592,0.011037203,,0.049886792,0.050105344
190,-0.234461628,0.01152592,0.011037203,,0.060509874,0.060269676
191,-0.060117516,0.01152592,0.011037203,,0.005132782,0.005062994
192,-0.296847229,0.01152592,0.011037203,,0.095093999,0.094792824
193,0.127496883,0.01152592,0.011037203,,0.013449264,0.013562857
194,0.227710428,0.01152592,0.011037203,,0.046735742,0.046947286
195,0.370938006,0.01152592,0.011037203,,0.129177047,0.129528588
196,0.367277237,0.01152592,0.011037203,,0.126559,0.126906962
197,0.194000849,0.01152592,0.011037203,,0.0332971,0.033475696
198,-0.236271557,0.01427434,0.016161374,,0.062773246,0.063722385
199,-0.247375158,0.01427434,0.016161374,,0.06846046,0.069451504
200,-0.18992609,0.01427434,0.016161374,,0.041697816,0.042472043
201,-0.279623879,0.01427434,0.016161374,,0.086376163,0.087488916
202,-0.278851455,0.01427434,0.016161374,,0.085922731,0.087032569
203,-0.1191527,0.01427434,0.016161374,,0.017802775,0.018309899
204,-0.108821523,0.01427434,0.016161374,,0.015152591,0.015620725
205,0.059084241,0.01427434,0.016161374,,0.002007927,0.001842373
206,-0.242933718,0.01427434,0.016161374,,0.066155985,0.067130267
207,-0.229030078,0.01427434,0.016161374,,0.05919704,0.060118848
208,-0.277982477,0.01427434,0.016161374,,0.085414047,0.086520605
209,-0.271030657,0.01427434,0.016161374,,0.081398941,0.082479263
210,0.3154733,0.009462644,0.007190418,,0.093642522,0.095038335
211,0.381405723,0.009462644,0.007190418,,0.138341654,0.140037094
212,0.52119442,0.009462644,0.007190418,,0.261869411,0.264200114
