#; car_name; price; structure; emission; gearbox; fc;
161;马自达CX-5;16.98-24.58万;SUV;2.0L 2.5L;手动 手自一体;7-8L;
162;众泰2008;4.38-6.38万;SUV;1.3L 1.5L 1.6L;手动;7-7L;
163;荣威550;9.98-18.28万;三厢;1.8L 1.8T;手动 双离合 手自一体;2-10L;
164;大众速腾;13.18-21.88万;三厢;1.2T 1.4T 1.6L 2.0T;手动 双离合 手自一体;6-9L;
165;雪佛兰科鲁兹掀背;8.99-16.99万;两厢 三厢 掀背;1.4T 1.5L 1.6L 1.6T;手动 双离合 手自一体;6-8L;
166;东风风度MX6;12.28-16.98万;SUV;2.0L;手动 无级;8-9L;
167;福特嘉年华两厢;7.99-12.29万;两厢 三厢;1.0T 1.5L;手动 双离合;6-7L;
168;起亚K5;15.98-24.98万;三厢;1.6T 2.0L 2.0T;手动 双离合 手自一体;5-8L;
169;起亚K4;12.88-18.88万;三厢;1.6T 1.8L 2.0L;手动 双离合 手自一体;7-8L;
170;起亚K3;9.68-15.08万;三厢;1.4T 1.6L;手动 双离合 手自一体;6-7L;
171;Jeep自由光;20.98-31.58万;SUV;2.0L 2.4L;手自一体;8-8L;
172;标致508;17.37-26.97万;三厢;1.6T 1.8T 2.0L;手动 手自一体;7-9L;
173;奔腾B70;9.98-14.98万;三厢;1.8T 2.0L;手动 手自一体;8-9L;
174;吉利远景;5.39-6.79万;三厢;1.3T 1.5L;手动 手自一体;6-7L;
175;北汽绅宝D50;7.48-11.38万;三厢;1.5L 1.5T;手动 无级;7-7L;
176;大众桑塔纳-浩纳;8.49-13.89万;两厢 三厢;1.4L 1.4T 1.6L;手动 自动 双离合;6-7L;
177;路虎揽胜极光;39.80-57.80万;SUV;2.0T;手自一体;8-8L;
178;奔腾B90;14.58-20.18万;三厢;1.8T 2.0T;手自一体;8-10L;
179;一汽威姿;6.38-8.98万;两厢;1.0L 1.3L;手动 自动;7-7L;
180;众泰SR7;7.50-36.67万;SUV;1.5T;手动 无级;暂无;
181;雪铁龙全新爱丽舍;8.38-12.08万;三厢;1.6L;手动 手自一体;6-8L;
182;宝马X1;28.60-43.90万;SUV;1.5T 2.0T;手自一体;6-9L;
183;奔腾B30;6.58-9.28万;三厢;1.6L;手动 手自一体;6-7L;
184;中华H530;8.58-9.58万;三厢;1.6L;手动 手自一体;7-8L;
185;大众CC;25.28-34.28万;三厢;1.8T 2.0T 3.0L;双离合;8-9L;
186;长丰骐菱;6.98-8.68万;MPV;1.6L;手动;8-8L;
187;瑞麒M1-EV;3.88-16.98万;两厢;1.0L 1.3L;手动 AMT 固定齿比;6-7L;
188;斯柯达明锐;9.98-17.99万;掀背;1.4T 1.6L;手动 双离合 手自一体;6-8L;
189;福特嘉年华三厢;7.99-12.29万;两厢 三厢;1.0T 1.5L;手动 双离合;6-7L;
190;铃木奥拓;4.18-6.19万;两厢;1.0L;手动 自动;5-6L;
191;奔腾B50;8.18-11.78万;三厢;1.4T 1.6L;手动 手自一体;6-8L;
192;长安商用长安欧诺;3.59-5.39万;客车;1.3L 1.5L;手动;7-8L;
193;马自达3Axela昂克赛拉 三厢;11.29-16.29万;两厢 三厢;1.5L 2.0L;手动 手自一体;6-6L;
194;一汽夏利N3两厢;3.10-3.50万;两厢 三厢;1.0L;手动;6-6L;
195;众泰Z100;3.00-3.50万;两厢;1.0L;手动;暂无;
196;瑞麒G6;18.98-25.98万;三厢;2.0T 3.0L;手自一体;暂无;
197;瑞麒G5;9.98-17.98万;三厢;2.0L 2.0T;手动 手自一体;10-10L;
198;丰田YARiS L 致炫;6.98-10.48万;两厢;1.3L 1.5L;手动 无级;5-6L;
199;奔驰GLC级;39.60-57.90万;SUV;2.0T;手自一体;7-8L;
200;华泰路盛E70;6.97-8.97万;三厢;2.0L;手动 手自一体;7-7L;
201;开瑞优优2代;3.40-4.40万;客车;1.0L 1.2L;手动;暂无;
202;东风风神L60;8.97-12.97万;三厢;1.6L 1.8L;手动 手自一体;7-8L;
203;别克威朗;13.59-20.59万;两厢 三厢;1.5L 1.5T;手动 双离合 手自一体;6-6L;
204;起亚RIO;暂无报价;暂无;暂无;暂无;暂无;
205;雪佛兰科鲁兹;8.99-16.99万;两厢 三厢 掀背;1.4T 1.5L 1.6L 1.6T;手动 双离合 手自一体;6-8L;
206;哈飞中意V5;3.87-4.37万;客车;1.3L;手动;暂无;
207;斯柯达速派;16.98-27.28万;掀背;1.4T 1.8T 2.0T;手动 双离合;6-8L;
208;DS4S;14.99-22.99万;两厢;1.2T 1.6T 1.8T;手自一体;6-7L;
209;众泰M300;暂无报价;MPV;1.6L;手动;9-9L;
210;长安CS35;7.99-10.39万;SUV;1.5T 1.6L;手动 手自一体;7-7L;
211;雪佛兰赛欧三厢;6.29-7.99万;三厢;1.3L 1.5L;手动 AMT;5-6L;
212;马自达3星骋;9.48-12.58万;两厢 三厢;1.6L 2.0L;手动 手自一体;6-8L;
213;北汽绅宝D80;20.48-26.88万;三厢;1.8T 2.0T 2.3T;手自一体;9-9L;
214;三菱帕杰罗;36.98-42.98万;SUV;3.0L;手自一体;12-13L;
215;北汽绅宝D60;11.98-16.88万;三厢;1.8T 2.0T;手动 手自一体;8-8L;
216;奇瑞风云2两厢;4.29-4.69万;两厢;1.5L;手动;6-7L;
217;长城V80;6.98-11.48万;MPV;1.5T 2.0L 2.4L;手动 手自一体;9-10L;
218;东风郑州日产御轩;null_price;null_structure;null_emission;null_gb;null_fc;
219;北汽绅宝D70;13.98-21.58万;三厢;1.8T 2.0T 2.3T;手自一体;9-10L;
220;昌河Q25;5.59-7.59万;SUV;1.5L;手动 自动;6-7L;
221;宝骏乐驰;3.98-4.98万;两厢;1.0L 1.2L;手动;5-6L;
222;别克君越;22.98-33.98万;三厢;1.5T 1.8L 2.0T;无级 双离合 手自一体;5-10L;
223;本田凌派;10.98-14.98万;三厢;1.8L;手动 无级;6-7L;
224;奔驰GLK级;37.80-55.80万;SUV;2.0T 3.0L;手自一体;8-11L;
225;众泰Z500;7.68-10.98万;三厢;1.5T;手动 无级;暂无;
226;广汽传祺GS5;12.38-22.98万;SUV;1.8T 2.0L;手动 手自一体;暂无;
227;斯柯达昕锐;7.99-11.69万;三厢;1.4L 1.6L;手动 自动;6-7L;
228;广汽传祺GS4;9.98-16.18万;SUV;1.3T 1.5T;手动 双离合 手自一体;6-7L;
229;日产NV200;10.78-12.38万;MPV;1.6L;手动 无级;7-8L;
230;奇瑞新QQ;3.79-5.09万;两厢;1.0L;手动 AMT;暂无;
231;力帆520i;3.99-7.88万;两厢 三厢;1.3L 1.5L 1.6L;手动;6-8L;
232;大众迈腾;18.99-31.69万;三厢;1.4T 1.8T 2.0T;双离合;6-10L;
233;众泰T200;4.60-6.30万;SUV;1.3L 1.5L;手动 无级;6-8L;
234;大众捷达;7.99-13.49万;三厢;1.4L 1.4T 1.5L;手动 自动 双离合;5-8L;
235;本田杰德;12.99-18.38万;两厢;1.5T 1.8L;自动 无级;6-7L;
236;海马普力马;7.98-19.36万;MPV;1.6L 1.8L;手动 自动 无级;7-9L;
237;金杯S50;8.83-13.28万;SUV;2.0L 2.4L;手动 自动;11-12L;
238;铃木浪迪;4.98-5.35万;客车;1.2L 1.4L;手动;暂无;
239;本田歌诗图;25.98-33.58万;掀背;2.4L 3.0L;自动 手自一体;9-10L;
240;中华骏捷Cross;7.68-10.98万;两厢;1.5L 1.6L;手动 手自一体;暂无;
241;三菱翼神;9.58-13.98万;三厢;1.6L 1.8L 2.0L;手动 无级;7-8L;
242;铃木派喜;5.00万;两厢;1.4L;手动;6-6L;
243;宝骏560;6.98-10.58万;SUV;1.5T 1.8L;手动 AMT;7-8L;
244;雪佛兰爱唯欧三厢;7.39-10.99万;两厢 三厢;1.4L 1.6L;手动 手自一体;6-7L;
245;长安奔奔;4.59-6.09万;两厢;1.4L;手动 AMT;5-6L;
246;昌河福瑞达M50;3.98-5.28万;客车;1.4L 1.5L;手动;6-8L;
247;斯柯达Yeti;12.98-20.98万;SUV;1.4T 1.6L 1.8T;手动 双离合;6-8L;
248;丰田威驰;6.98-11.38万;三厢;1.3L 1.5L;手动 无级;5-7L;
249;力帆720;5.98-8.04万;三厢;1.5L 1.8L;手动 无级;7-7L;
250;马自达Mazda6;12.98-15.98万;三厢;2.0L;手动 手自一体;8-8L;
251;马自达Mazda8;21.98-25.98万;MPV;2.3L 2.5L;手自一体;10-10L;
252;丰田花冠EX;9.08-11.38万;三厢;1.6L;手动 自动;6-7L;
253;东风风行景逸X3;6.69-8.69万;SUV;1.5L 1.6L;手动 无级;7-7L;
254;大众高尔夫;12.19-23.99万;两厢;1.2T 1.4T 1.6L 2.0T;手动 双离合 手自一体;5-8L;
255;东风风行景逸X5;7.99-10.89万;SUV;1.6L 1.8T 2.0L;手动 无级;7-8L;
256;思铭思铭;9.99-11.69万;三厢;1.8L;手动 自动;7-7L;
257;福田迷迪;5.93-8.68万;MPV;1.3L 1.5L 1.6L;手动;7-8L;
258;大众高尔夫GTI;12.19-23.99万;两厢;1.2T 1.4T 1.6L 2.0T;手动 双离合 手自一体;5-8L;
259;起亚福瑞迪;9.88-11.98万;三厢;1.6L;手动 手自一体;6-8L;
260;比亚迪秦;20.98-30.98万;三厢;1.5T;双离合 固定齿比;1-2L;
261;福特福克斯两厢;9.98-16.58万;两厢 三厢;1.0T 1.5T 1.6L 1.8L;手动 双离合 手自一体;5-9L;
262;众泰T600;7.98-14.98万;SUV;1.5T 2.0T;手动 双离合;8-9L;
263;长城C20R;6.29-7.29万;两厢;1.5L;手动;6-6L;
264;一汽森雅M80;5.19-8.15万;MPV;1.3L 1.5L;手动 自动;7-8L;
265;众泰芝麻E30;11.98万;两厢;暂无;固定齿比;暂无;
266;长安悦翔V5;6.19-7.59万;三厢;1.5L;手动 手自一体;6-7L;
267;长安悦翔V7;6.09-8.79万;三厢;1.0T 1.6L;手动 手自一体;6-7L;
268;长安逸动;8.09-10.39万;两厢 三厢;1.6L;手动 手自一体;6-8L;
269;日产帕拉丁;16.78-24.78万;SUV;2.4L;手动;9-11L;
270;五菱宏光;4.18-6.98万;客车;1.2L 1.5L;手动;7-8L;
271;雪铁龙C4L;13.19-18.99万;三厢;1.2T 1.6T 1.8L;手动 手自一体;5-8L;
272;DS6;19.39-30.19万;SUV;1.6T 1.8T;手自一体;7-7L;
273;荣威E50;18.89万;两厢;暂无;固定齿比;暂无;
274;DS5;21.99-34.59万;两厢;1.6T 1.8T;手自一体;6-8L;
275;众泰大迈X5;6.99-12.19万;SUV;1.5T 1.6L;手动 无级;7-8L;
276;江淮和悦;6.28-7.58万;三厢;1.5L;手动;7-8L;
277;MG锐腾;9.88-17.97万;SUV;1.5T 2.0T;手动 双离合;7-8L;
278;力帆320;3.48-5.49万;两厢;1.3L;手动 无级;7-7L;
279;雪铁龙C4世嘉;9.58-11.18万;三厢;1.6L;手动 手自一体;7-9L;
280;日产阳光;7.98-11.28万;三厢;1.5L;手动 无级;6-6L;
281;MG3;6.37-8.37万;两厢;1.3L 1.5L;手动 AMT;6-7L;
282;MG5;8.97-14.07万;两厢;1.5L 1.5T;手动 自动 手自一体;7-8L;
283;北汽绅宝D20 三厢;4.88-8.28万;两厢 三厢;1.3L 1.5L;手动 自动;6-7L;
284;MG7;15.68-30.28万;三厢;1.8L 1.8T 2.5L;手动 自动 手自一体;9-11L;
285;MG6;11.98-18.18万;掀背;1.8L 1.8T;手动 双离合;7-10L;
286;丰田汉兰达;23.98-42.28万;SUV;2.0T 3.5L;手自一体;8-12L;
287;比亚迪S6;7.99-12.39万;SUV;1.5T 2.0L 2.4L;手动 双离合;9-11L;
288;东风郑州日产帅客;null_price;null_structure;null_emission;null_gb;null_fc;
289;比亚迪S7;10.69-15.99万;SUV;1.5T 2.0T;手动 双离合;8-9L;
290;本田XR-V;12.78-16.28万;SUV;1.5L 1.8L;手动 无级;6-7L;
291;日产骊威;8.58-11.72万;两厢;1.6L;手动 无级;6-8L;
292;昌河福瑞达;2.88-4.78万;客车 货车;1.0L 1.2L 1.4L;手动;暂无;
293;荣威750混合动力;16.28-27.68万;三厢;1.8T 2.5L;手动 自动 手自一体;8-10L;
294;标致2008;9.97-16.37万;SUV;1.2T 1.6L 1.6T;手动 手自一体;5-7L;
295;猎豹飞腾C5;7.98-8.89万;SUV;1.5T;AMT;暂无;
296;标致408;12.97-18.97万;三厢;1.2T 1.6T 1.8L;手动 手自一体;5-8L;
297;雪佛兰赛欧两厢;6.29-7.99万;三厢;1.3L 1.5L;手动 AMT;5-6L;
298;一汽夏利N7;4.89-5.29万;两厢;1.3L;手动 自动;5-6L;
299;一汽夏利N5;3.69-4.89万;三厢;1.0L 1.3L;手动;6-6L;
300;长安商用欧力威;3.98-6.59万;两厢;1.2L 1.4L;手动 AMT;6-7L;
301;启辰T70;8.98-12.78万;SUV;1.6L 2.0L;手动 无级;7-8L;
302;本田雅阁;16.98-27.98万;三厢;2.0L 2.4L;无级 无级;4-10L;
303;起亚KX3傲跑;11.68-17.78万;SUV;1.6L 1.6T;手动 双离合 手自一体;7-8L;
304;中华尊驰;10.88-25.28万;三厢;1.8T 2.0L;手动 手自一体;8-10L;
305;铃木启悦;7.89-11.39万;三厢;1.6L;手动 手自一体;5-6L;
306;起亚K2三厢;7.29-10.39万;两厢 三厢;1.4L 1.6L;手动 自动 手自一体;5-6L;
