,id,year,month,pSales,predict,error
10694,212,2015,12,-3.0,-1.0,2.0
10695,212,2015,11,-3.0,-1.0,2.0
10696,212,2015,10,-3.0,-1.0,2.0
10697,212,2015,9,-3.0,-1.0,2.0
10698,212,2015,8,-3.0,-1.0,2.0
10796,216,2016,8,-2.0,-2.0,0.0
10804,216,2015,12,6.0,-1.0,-7.0
10805,216,2015,11,6.0,-1.0,-7.0
10806,216,2015,10,4.0,-1.0,-5.0
10807,216,2015,9,2.0,-2.0,-4.0
10808,216,2015,8,0.0,-2.0,-2.0
11008,219,2015,12,-1.0,-1.0,0.0
11009,219,2015,11,-2.0,-1.0,1.0
11010,219,2015,10,-2.0,-1.0,1.0
11011,219,2015,9,-1.0,-1.0,0.0
11012,219,2015,8,0.0,-1.0,-1.0
11040,221,2016,8,-4.0,-2.0,2.0
11048,221,2015,12,-3.0,-1.0,2.0
11049,221,2015,11,-3.0,-1.0,2.0
11050,221,2015,10,-3.0,-1.0,2.0
11051,221,2015,9,-3.0,-2.0,1.0
11052,221,2015,8,-4.0,-2.0,2.0
11156,222,2016,8,0.0,-1.0,-1.0
11164,222,2015,12,1.0,-1.0,-2.0
11165,222,2015,11,1.0,-1.0,-2.0
11166,222,2015,10,0.0,-1.0,-1.0
11167,222,2015,9,-1.0,-1.0,0.0
11168,222,2015,8,-1.0,-1.0,0.0
11272,223,2016,8,-2.0,-2.0,0.0
11280,223,2015,12,5.0,-1.0,-6.0
11281,223,2015,11,-1.0,-1.0,0.0
11282,223,2015,10,0.0,-1.0,-1.0
11283,223,2015,9,0.0,-1.0,-1.0
11284,223,2015,8,-1.0,-1.0,0.0
11311,224,2016,8,5.0,-2.0,-7.0
11319,224,2015,12,3.0,2.0,-1.0
11320,224,2015,11,4.0,-2.0,-6.0
11321,224,2015,10,4.0,-2.0,-6.0
11322,224,2015,9,6.0,-2.0,-8.0
11323,224,2015,8,7.0,-2.0,-9.0
11367,225,2016,8,-3.0,-2.0,1.0
11375,225,2015,12,-1.0,-1.0,0.0
11376,225,2015,11,-3.0,-1.0,2.0
11377,225,2015,10,-2.0,-1.0,1.0
11378,225,2015,9,-2.0,-1.0,1.0
11379,225,2015,8,-2.0,-1.0,1.0
11389,226,2016,8,-4.0,-1.0,3.0
11391,226,2015,12,-4.0,-1.0,3.0
11431,227,2016,8,-0.0,-2.0,-2.0
11438,227,2015,12,2.0,-1.0,-3.0
11439,227,2015,11,0.0,-1.0,-1.0
11440,227,2015,10,-1.0,-1.0,0.0
11441,227,2015,9,-2.0,-1.0,1.0
11442,227,2015,8,-4.0,-1.0,3.0
11473,228,2016,8,3.0,-2.0,-5.0
11481,228,2015,12,1.0,-1.0,-2.0
11482,228,2015,11,2.0,-1.0,-3.0
11483,228,2015,10,1.0,-1.0,-2.0
11484,228,2015,9,0.0,-1.0,-1.0
11485,228,2015,8,-1.0,-1.0,0.0
11490,229,2016,8,-1.0,-2.0,-1.0
11498,229,2015,12,-3.0,-1.0,2.0
11499,229,2015,11,-2.0,-1.0,1.0
11500,229,2015,10,-2.0,-1.0,1.0
11501,229,2015,9,-3.0,-1.0,2.0
11502,229,2015,8,-3.0,-1.0,2.0
11565,230,2016,8,0.0,-2.0,-2.0
11573,230,2015,12,0.0,-1.0,-1.0
11574,230,2015,11,2.0,-1.0,-3.0
11575,230,2015,10,-1.0,-2.0,-1.0
11576,230,2015,9,-2.0,-2.0,0.0
11577,230,2015,8,-2.0,-2.0,0.0
11596,231,2015,12,-2.0,-1.0,1.0
11674,232,2016,8,0.0,-1.0,-1.0
11682,232,2015,12,1.0,-1.0,-2.0
11683,232,2015,11,2.0,-1.0,-3.0
11684,232,2015,10,2.0,-1.0,-3.0
11685,232,2015,9,2.0,-1.0,-3.0
11686,232,2015,8,1.0,-1.0,-2.0
11785,233,2016,8,-2.0,-2.0,0.0
11789,233,2015,12,-2.0,-1.0,1.0
11790,233,2015,11,-1.0,-1.0,0.0
11791,233,2015,10,-1.0,-1.0,0.0
11792,233,2015,9,-1.0,-2.0,-1.0
11793,233,2015,8,-2.0,-2.0,0.0
11810,234,2016,8,6.0,-2.0,-8.0
11818,234,2015,12,1.0,-1.0,-2.0
11819,234,2015,11,4.0,-1.0,-5.0
11820,234,2015,10,-0.0,-1.0,-1.0
11821,234,2015,9,-1.0,-1.0,0.0
11822,234,2015,8,-1.0,-1.0,0.0
11926,235,2016,8,-3.0,-1.0,2.0
11934,235,2015,12,3.0,-1.0,-4.0
11935,235,2015,11,2.0,-1.0,-3.0
11936,235,2015,10,1.0,-1.0,-2.0
11937,235,2015,9,-1.0,-1.0,0.0
11938,235,2015,8,-2.0,-1.0,1.0
11967,236,2015,12,-3.0,-1.0,2.0
11968,236,2015,11,-3.0,-1.0,2.0
11969,236,2015,10,-2.0,-1.0,1.0
11970,236,2015,9,-3.0,-1.0,2.0
11971,236,2015,8,-3.0,-1.0,2.0
12093,238,2015,8,-1.0,-2.0,-1.0
12136,239,2016,8,-1.0,-1.0,0.0
12144,239,2015,12,0.0,-1.0,-1.0
12145,239,2015,11,-2.0,-1.0,1.0
12146,239,2015,10,-1.0,-1.0,0.0
12147,239,2015,9,-1.0,-1.0,0.0
12148,239,2015,8,-2.0,-1.0,1.0
12209,240,2015,10,-0.0,-1.0,-1.0
