year,month,data_value,car_id
2013,11,263,399
2013,10,72,399
2013,9,274,399
2013,8,99,399
2013,7,158,399
2013,6,201,399
2013,5,292,399
2013,4,220,399
2013,3,32,399
2013,2,183,399
2013,1,519,399
2012,12,476,399
2012,11,688,399
2012,10,671,399
2012,9,738,399
2012,8,803,399
2012,7,629,399
2012,6,1021,399
2012,5,1024,399
2012,4,1899,399
2012,3,1751,399
2012,2,2663,399
2012,1,2548,399
2011,12,1531,399
2011,11,2609,399
2011,10,3000,399
2011,9,2418,399
2011,8,1472,399
2011,7,1411,399
2011,6,1971,399
2011,5,2557,399
2011,4,2184,399
2011,3,3178,399
2011,2,1649,399
2011,1,3147,399
2014,2,1712,400
2014,1,2847,400
2013,12,5335,400
2013,11,6115,400
2013,10,5846,400
2013,9,4607,400
2013,8,1783,400
2013,7,1428,400
2013,6,981,400
2013,5,1509,400
2013,4,2023,400
2013,3,2370,400
2013,2,2218,400
2012,12,2226,400
2012,11,1724,400
2012,10,1863,400
2012,9,1356,400
2012,8,1236,400
2012,7,616,400
2012,6,697,400
2012,5,1148,400
2012,4,1727,400
2012,3,2203,400
2012,2,2148,400
2012,1,1579,400
2011,12,916,400
2016,8,896,401
2016,7,2527,401
2016,6,5639,401
2016,5,64,401
2016,4,3287,401
2016,3,7128,401
2016,2,805,401
2016,1,2010,401
2015,12,4316,401
2015,11,2395,401
2015,10,3104,401
2015,9,3307,401
2015,8,3447,401
2015,7,3025,401
2015,6,3553,401
2015,5,1780,401
2015,4,3322,401
2015,3,3596,401
2015,2,4220,401
2015,1,4763,401
2014,12,4364,401
2014,11,4803,401
2014,10,4813,401
2014,9,4128,401
2014,8,3827,401
2014,7,4643,401
2014,6,4723,401
2014,5,3906,401
2014,4,4665,401
2014,3,6560,401
2014,1,826,401
2013,11,4970,401
2013,10,6589,401
2013,9,5315,401
2013,8,3853,401
2013,7,3963,401
2016,8,3770,402
2016,6,2771,402
2016,5,4093,402
2016,4,3030,402
2016,3,2973,402
2016,2,1673,402
2016,1,6730,402
2015,12,6815,402
2015,11,5915,402
2015,10,6149,402
2015,9,7352,402
2015,8,5204,402
2015,7,4987,402
2015,6,5110,402
2015,5,6065,402
2015,4,6246,402
2015,3,5204,402
2015,2,3166,402
2015,1,5288,402
2014,12,6194,402
2014,11,6044,402
2014,10,5609,402
2014,9,7217,402
2014,8,2209,402
2014,7,6837,402
2014,6,5600,402
2014,5,5497,402
2014,4,5749,402
2014,3,6436,402
2014,2,3890,402
2014,1,6509,402
2013,12,5232,402
2013,11,5466,402
2013,10,5030,402
2013,9,4671,402
2013,8,3518,402
2013,7,3839,402
2013,6,3324,402
2013,5,4815,402
2013,4,4288,402
2013,3,4185,402
2013,2,2754,402
2013,1,5196,402
2016,8,3543,403
2016,7,3005,403
2016,6,2784,403
2016,5,3627,403
2016,4,3424,403
2016,3,4993,403
2016,2,3643,403
2016,1,4631,403
2015,12,4197,403
2015,11,5178,403
2015,10,3024,403
2015,9,3538,403
2015,8,2733,403
2015,7,4136,403
2015,6,4300,403
2015,5,3531,403
2015,4,4034,403
2015,3,4692,403
2015,2,5623,403
2015,1,7405,403
2014,12,11634,403
2014,11,8461,403
2014,10,7098,403
2014,9,6466,403
2014,8,5232,403
2014,7,4976,403
2014,6,9705,403
2014,5,9695,403
2014,4,8491,403
2014,3,10423,403
2014,2,7703,403
2014,1,9895,403
2013,12,15069,403
2013,11,12073,403
2013,10,10701,403
2013,9,10279,403
2013,8,8028,403
2013,7,6006,403
2013,6,9915,403
2013,5,8254,403
2013,4,6293,403
2013,3,8066,403
2013,2,6144,403
2013,1,9509,403
2012,12,8032,403
2012,11,8530,403
2012,10,7713,403
2012,9,6707,403
2012,8,4926,403
2012,7,3243,403
2012,6,5179,403
2012,5,4877,403
2012,4,5886,403
2012,3,6022,403
2012,2,5005,403
2012,1,4572,403
2011,12,7065,403
2011,11,4735,403
2011,10,4180,403
2011,9,5826,403
2011,8,3593,403
2011,7,3697,403
2011,6,4372,403
2011,5,4155,403
2011,4,5434,403
2011,3,6840,403
2011,2,5312,403
2011,1,8498,403
2010,12,5680,403
2010,11,6050,403
2010,10,4281,403
2010,9,5647,403
2010,8,5500,403
2010,7,4622,403
2010,6,5394,403
2010,5,4310,403
2016,8,2907,404
2016,7,3738,404
2016,5,3463,404
2016,4,3435,404
2016,3,2941,404
2016,2,1585,404
2016,1,3370,404
2015,12,7913,404
2015,11,4761,404
2015,10,403,404
2016,8,2216,405
2016,6,0,405
2016,5,3751,405
2016,4,190,405
2016,3,16,405
2016,2,1,405
2015,12,505,405
2015,8,240,405
2015,6,2688,405
2015,5,2,405
2015,3,122,405
2015,2,10,405
2015,1,2,405
2014,12,198,405
2014,11,102,405
2014,9,4,405
2014,8,8,405
2014,7,16,405
2014,6,3,405
2014,5,90,405
2014,4,186,405
2014,3,30,405
2014,2,47,405
2014,1,116,405
2013,12,116,405
2013,11,146,405
2013,10,158,405
2013,9,346,405
2013,8,255,405
2013,7,267,405
2013,6,462,405
2013,5,413,405
2013,4,854,405
2013,3,1261,405
2013,2,922,405
2013,1,1110,405
2012,12,454,405
2012,11,614,405
2012,10,714,405
2012,9,1072,405
2012,8,2000,405
2012,7,3210,405
2012,6,2218,405
2012,5,3127,405
2012,4,2381,405
2012,3,1909,405
2012,2,1091,405
2012,1,2557,405
2011,12,995,405
2011,11,2423,405
2011,10,2944,405
2011,9,4007,405
2011,8,3300,405
2011,7,5838,405
2011,6,4492,405
2011,5,5244,405
2011,4,4883,405
2011,3,8367,405
2011,2,7118,405
2011,1,8097,405
2010,12,2532,405
2010,11,6919,405
2010,10,8563,405
2010,9,7277,405
2010,8,6070,405
2010,7,4625,405
2010,6,8562,405
2010,5,8983,405
2010,4,8115,405
2010,3,6234,405
2010,2,3937,405
2010,1,9010,405
2009,12,7889,405
2009,11,10527,405
2009,10,8998,405
2009,9,8224,405
2009,8,8591,405
2009,7,7133,405
2009,6,7839,405
2009,5,2579,405
2009,4,3512,405
2009,3,4037,405
2009,2,5811,405
2009,1,5378,405
2008,12,3505,405
2008,11,4312,405
2008,10,3661,405
2008,9,3479,405
2008,8,3111,405
2008,7,2242,405
2008,6,438,405
2008,5,38,405
2016,8,1566,406
2016,7,1048,406
2016,6,1287,406
2016,5,1285,406
2016,4,1271,406
2016,3,1129,406
2016,2,1083,406
2016,1,1253,406
2015,12,1436,406
2015,11,1303,406
2015,10,1057,406
2015,9,1065,406
2015,8,652,406
2015,7,821,406
2015,6,641,406
2015,5,546,406
2015,4,1117,406
2015,3,601,406
2015,2,415,406
2015,1,864,406
2014,12,1381,406
2014,11,1229,406
2014,10,1135,406
2014,9,1473,406
2014,8,1388,406
2014,7,1698,406
2014,6,1265,406
2014,5,1467,406
2014,4,1430,406
2014,3,1596,406
2014,2,1431,406
2014,1,1462,406
2013,12,1404,406
2013,11,1516,406
2013,10,1381,406
2013,9,1561,406
2013,8,1368,406
2013,7,1302,406
2013,6,1211,406
2013,5,1344,406
2013,4,1309,406
2013,3,1437,406
2013,2,927,406
2013,1,1662,406
8,7956,407,
6,6977,407,
5,8289,407,
4,9662,407,
3,10766,407,
2,4593,407,
1,9293,407,
12,10368,407,
11,10068,407,
10,8245,407,
9,7995,407,
8,7528,407,
7,6411,407,
6,8878,407,
5,8482,407,
4,8564,407,
3,7344,407,
2,6117,407,
1,8625,407,
12,7590,407,
11,7676,407,
10,7327,407,
9,8527,407,
8,8441,407,
7,7940,407,
6,7794,407,
5,8001,407,
4,7736,407,
3,8109,407,
2,6589,407,
1,8205,407,
12,5368,407,
11,5190,407,
10,4045,407,
9,5857,407,
8,3600,407,
7,4946,407,
6,5610,407,
5,6661,407,
4,5747,407,
3,4932,407,
2,2937,407,
1,6320,407,
12,2085,407,
11,4062,407,
10,2625,407,
9,2696,407,
8,2105,407,
7,758,407,
6,6,407,
5,5,407,
4,11,407,
3,562,407,
2,3065,407,
1,2814,407,
12,3075,407,
11,3321,407,
10,2600,407,
9,2944,407,
8,2021,407,
7,2512,407,
6,2657,407,
5,2694,407,
4,2499,407,
3,2342,407,
2,933,407,
1,2354,407,
12,1354,407,
11,1709,407,
10,1182,407,
9,1170,407,
8,922,407,
7,443,407,
6,77,407,
5,1232,407,
